,Unnamed: 0,property_link,suburb,address,property_type,price,closest_school,Bedrooms,Bathrooms,Garages
0,0,https://www.domain.com.au/14-curringa-ct-churchill-vic-3842-16107605,CHURCHILL VIC 3842,"14 Curringa Ct, CHURCHILL VIC 3842",0,320,1,3,1,0
1,1,https://www.domain.com.au/31-suzanne-street-dandenong-vic-3175-16107599,DANDENONG VIC 3175,"31 Suzanne Street, DANDENONG VIC 3175",0,465,0.7,3,1,1
2,2,https://www.domain.com.au/65-bruckner-drive-point-cook-vic-3030-16107598,POINT COOK VIC 3030,"65 Bruckner Drive, POINT COOK VIC 3030",0,420,1.3,4,2,2
3,3,https://www.domain.com.au/16-june-square-ringwood-north-vic-3134-16107589,RINGWOOD NORTH VIC 3134,"16 June Square, RINGWOOD NORTH VIC 3134",0,620,0.5,3,2,6
4,4,https://www.domain.com.au/1-76-mckean-street-box-hill-north-vic-3129-16107586,BOX HILL NORTH VIC 3129,"1/76 McKean Street, BOX HILL NORTH VIC 3129",0,620,0.7,4,2,1
5,5,https://www.domain.com.au/27-dudley-street-belmont-vic-3216-16107578,BELMONT VIC 3216,"27 Dudley Street, BELMONT VIC 3216",0,560,0.4,4,2,2
6,6,https://www.domain.com.au/1-neville-court-springvale-vic-3171-16107574,SPRINGVALE VIC 3171,"1 Neville Court, SPRINGVALE VIC 3171",0,550,0.4,3,2,3
7,7,https://www.domain.com.au/623-panmure-laang-road-laang-vic-3265-16107571,LAANG VIC 3265,"623 Panmure-Laang Road, LAANG VIC 3265",0,400,6.2,3,1,4
8,8,https://www.domain.com.au/10-copper-beech-road-beaconsfield-vic-3807-16107568,BEACONSFIELD VIC 3807,"10 Copper Beech Road, BEACONSFIELD VIC 3807",0,460,2.2,3,2,2
9,9,https://www.domain.com.au/389-napier-street-fitzroy-vic-3065-16062597,FITZROY VIC 3065,"389 Napier Street, FITZROY VIC 3065",0,840,0.4,4,1,1
10,10,https://www.domain.com.au/33-flagstaff-street-armstrong-creek-vic-3217-16107551,ARMSTRONG CREEK VIC 3217,"33 Flagstaff Street, ARMSTRONG CREEK VIC 3217",0,470,1.6,3,2,1
11,11,https://www.domain.com.au/6-jesson-crescent-dandenong-vic-3175-16107544,DANDENONG VIC 3175,"6 Jesson Crescent, DANDENONG VIC 3175",0,425,1,3,1,1
12,12,https://www.domain.com.au/33-strezlecki-grove-altona-meadows-vic-3028-16107538,ALTONA MEADOWS VIC 3028,"33 Strezlecki Grove, ALTONA MEADOWS VIC 3028",0,350,0.8,3,2,2
13,13,https://www.domain.com.au/107b-barwarre-road-marshall-vic-3216-16107536,MARSHALL VIC 3216,"107B Barwarre Road, MARSHALL VIC 3216",0,580,0.6,4,2,2
14,14,https://www.domain.com.au/69-chapel-street-st-kilda-vic-3182-16107526,ST KILDA VIC 3182,"69 Chapel Street, ST KILDA VIC 3182",0,650,0.7,3,1,1
15,15,https://www.domain.com.au/a-1-jennings-st-colac-vic-3250-16107513,COLAC VIC 3250,"A/1 Jennings St, COLAC VIC 3250",0,380,0.6,2,1,1
16,16,https://www.domain.com.au/2-hailar-lane-lara-vic-3212-16107512,LARA VIC 3212,"2 Hailar Lane, LARA VIC 3212",0,480,1.2,4,2,0
17,17,https://www.domain.com.au/4-mason-way-berwick-vic-3806-16107503,BERWICK VIC 3806,"4 Mason Way, BERWICK VIC 3806",0,460,0.6,3,1,2
