,Suburbs,Addresses,Price per week ($),Bedrooms,Bathrooms,Garages,Land Sizes (m^2),Nearest Schools
0,BONSHAW VIC 3352,"26 Yolanda Street, BONSHAW VIC 3352",$460,4,2,2,,"['1.4 km away', '1.6 km away', '4.6 km away']"
1,KEILOR EAST VIC 3033,"55 Berembong Drive, KEILOR EAST VIC 3033",$425.00,2,1,2,,"['0.8 km away', '1.3 km away', '4 km away']"
2,ALFREDTON VIC 3350,"43 Lugano Avenue, ALFREDTON VIC 3350",$420.00,4,2,2,,"['1.5 km away', '2.7 km away', '1.5 km away']"
3,NORTH BENDIGO VIC 3550,"34 St James Wood Drive, NORTH BENDIGO VIC 3550",$460.00,4,2,1,,"['1.1 km away', '1.5 km away', '1.9 km away']"
4,BEVERIDGE VIC 3753,"15 Foundry Circuit, BEVERIDGE VIC 3753",$450,4,2,2,,"['2 km away', '5.8 km away']"
5,ESSENDON VIC 3040,"14 Spencer Street, ESSENDON VIC 3040",$600,3,1,1,,"['0.8 km away', '0.9 km away', '7.3 km away']"
6,GLEN WAVERLEY VIC 3150,"164 Blackburn Road, GLEN WAVERLEY VIC 3150",$520,3,1,1,,"['0.7 km away', '1.6 km away', '3.4 km away']"
7,SANDRINGHAM VIC 3191,"5 Masefield Avenue, SANDRINGHAM VIC 3191",$750,3,1,2,,"['1.1 km away', '1.2 km away', '5.7 km away']"
8,LONGWARRY VIC 3816,"5 Golden Road, LONGWARRY VIC 3816",$430,3,2,2,325,"['0.7 km away', '8.5 km away', '4.7 km away']"
9,CHARLEMONT VIC 3217,"24 Valrose Road, CHARLEMONT VIC 3217",$510.00,4,2,2,,"['1.8 km away', '1.9 km away', '0.6 km away']"
10,YARRAVILLE VIC 3013,"4/25 Eirene Street, YARRAVILLE VIC 3013",$590,3,2,1,,"['0.4 km away', '0.5 km away', '3.5 km away']"
11,AVONDALE HEIGHTS VIC 3034,"9 Aldea Crescent, AVONDALE HEIGHTS VIC 3034",$570,3,2,2,,"['0.2 km away', '1.8 km away', '2 km away']"
12,NORTH SHORE VIC 3214,"10 Myrtle Grove, NORTH SHORE VIC 3214",$440,2,1,2,,"['2.6 km away', '3.6 km away', '5.8 km away']"
13,ROCKBANK VIC 3335,"14 Equity Street, ROCKBANK VIC 3335",$400,3,2,2,,"['1 km away', '6.3 km away', '10.8 km away']"
14,MOUNT WAVERLEY VIC 3149,"11 Viewbank Road, MOUNT WAVERLEY VIC 3149",$700,7,2,4,,"['1 km away', '3.3 km away', '6 km away']"
15,WHEELERS HILL VIC 3150,"80 Whalley Drive, WHEELERS HILL VIC 3150",$550,3,2,1,,"['1 km away', '1.5 km away', '0.3 km away']"
16,SANCTUARY LAKES VIC 3030,"187 Sanctuary Lakes South Boulevard, SANCTUARY LAKES VIC 3030",$600,4,2,2,530,"['1 km away', '2.6 km away', '3.3 km away']"
17,MOONEE PONDS VIC 3039,"13 Moore St, MOONEE PONDS VIC 3039",$720,3,1,1,,"['0.9 km away', '2 km away', '8.2 km away']"
18,CRAIGIEBURN VIC 3064,"1 Liverpool Circuit, CRAIGIEBURN VIC 3064",$585,4,3,2,,"['0.5 km away', '1.3 km away', '13.1 km away']"
19,CAROLINE SPRINGS VIC 3023,"8 Stoneman Turn, CAROLINE SPRINGS VIC 3023",$420,3,1,1,,"['0.5 km away', '0.9 km away', '1.5 km away']"
20,WARRAGUL VIC 3820,"6 Plenty Drive, WARRAGUL VIC 3820",$550,4,2,2,,"['0.5 km away', '0.8 km away', '1.5 km away']"
21,LYNDHURST VIC 3975,"9 Johanna Path, LYNDHURST VIC 3975",$460.00,2,2,1,,"['0.3 km away', '1.4 km away', '11 km away']"
