,0
0,None
1,None
2,1767.27785829
3,None
4,1569.17546112
5,None
6,1865.84532359
7,None
8,None
9,1809.14631498
10,None
11,1803.79291791
12,913.77805032
13,419.3995842
14,680.32259059
15,862.15251576
16,1564.01802355
17,1297.53170075
18,None
19,888.62782418
20,None
21,None
22,1843.54555611
23,None
24,None
25,1086.06631235
26,1675.48321958
27,1279.27507014
28,None
29,None
30,None
31,None
32,1787.04387552
33,867.79867048
34,1025.70555789
35,1241.43968847
36,82.47721346
37,1744.5953732
38,408.26711981
39,1527.70565194
40,None
41,None
42,None
43,None
44,None
45,906.60297057
46,1330.80697275
47,1775.64286032
48,926.70589064
49,1108.94516802
50,1502.0080907
51,None
52,920.12002233
53,None
54,None
55,953.14882324
56,953.14882324
57,None
58,None
59,None
60,None
61,1102.25031717
62,1941.99987142
63,None
64,1092.4594667
65,None
66,297.08275135
67,None
68,1619.63194651
69,1952.80101691
70,None
71,None
72,1222.62576441
73,None
74,828.04788231
75,1924.87575163
76,383.39639304
77,None
78,1887.31122228
79,None
80,1888.20831448
81,None
82,1851.23685872
83,1682.57935863
84,374.91714039
85,1545.8584227
86,1260.56682171
87,816.74905857
88,None
89,None
90,None
91,1696.86413078
92,None
93,None
94,953.49073725
95,554.74516474
96,None
97,1863.08865964
98,None
99,None
100,992.32641577
101,1856.07570698
102,791.18760283
103,1621.28739856
104,1936.76842199
105,None
106,None
107,1631.90550765
108,None
109,1936.1795325
110,1430.73167072
111,600.85863098
112,1789.18773395
113,577.13904235
114,883.32343587
115,None
116,None
117,1552.04568266
118,1180.74820763
119,None
120,None
121,1571.64585508
122,1352.35330154
123,None
124,441.99939202
125,None
126,984.50270842
127,None
128,211.99843877
129,None
130,None
131,1705.53468811
132,1042.75874501
133,None
134,None
135,None
136,None
137,None
138,594.94512567
139,None
140,None
141,1916.43382473
142,1974.04785741
143,1807.79635161
144,None
145,None
146,None
147,None
148,1451.71192483
149,1908.71791704
150,None
151,635.76086539
152,None
153,None
154,None
155,None
156,1220.18824831
157,None
158,789.74513784
159,1385.1472888
160,None
161,1170.16731279
162,1332.67742103
163,1368.84505725
164,None
165,None
166,None
167,None
168,759.21256939
169,None
170,1818.88425694
171,None
172,673.69309145
173,None
174,None
175,None
176,None
177,771.8183488
178,None
179,None
180,None
181,1109.02397575
182,1755.44928684
183,None
184,1820.97678247
185,1262.64025959
186,1818.54435281
187,None
188,1896.18527858
189,None
190,968.72430471
191,985.01139567
192,None
193,1158.48655962
194,None
195,169.57157855
196,None
197,None
198,None
199,None
200,116.81804765
201,None
202,454.97083338
203,None
204,None
205,None
206,None
207,1598.98346682
208,1864.90505522
209,None
210,697.32884553
211,None
212,None
213,1321.5378859
214,None
215,1567.93408583
216,1910.23071224
217,934.18518332
218,1763.83896265
219,None
220,1061.35753327
221,None
222,None
223,None
224,613.16885103
225,1089.2757402
226,980.23327357
227,None
228,1949.64844359
229,1177.78655085
230,None
231,None
232,1008.05897416
233,None
234,1871.40255747
235,None
236,1519.47444784
237,None
238,602.04486381
239,None
240,None
241,None
242,1213.05317212
243,1235.21580466
244,1099.0599195
245,None
246,1334.61903801
247,442.57689671
248,1915.37569871
249,None
250,None
251,657.84815802
252,None
253,1986.62684489
254,None
255,1148.12727387
256,1492.60043054
257,None
258,1927.70980598
259,539.11521696
260,None
261,1292.12268686
262,1831.12024587
263,None
264,1537.22411559
265,1744.11724507
266,None
267,None
268,1919.34311729
269,None
270,444.75352066
271,None
272,1643.83242486
273,1412.9018161
274,643.16464622
275,None
276,None
277,1317.96529642
278,None
279,None
280,619.46066037
281,483.02846435
282,842.31425658
283,None
284,1367.89970907
285,None
286,None
287,845.96120032
288,None
289,None
290,576.19130565
291,None
292,570.73729467
293,None
294,1061.37047473
295,361.31726889
296,None
297,1651.08826797
298,None
299,1691.00534735
300,1080.47777837
301,None
302,1378.29301047
303,None
304,None
305,1677.26366456
306,None
307,997.36392759
308,1307.15842101
309,None
310,1982.06951126
311,None
312,None
313,None
314,None
315,1410.72594859
316,None
317,None
318,1381.5834099
319,None
320,381.50356631
321,1875.69398407
322,None
323,None
324,None
325,None
326,None
327,None
328,473.63951289
329,1789.78841978
330,1577.4664018
331,1299.44534384
332,593.27967803
333,1141.12072924
334,1562.30261373
335,1828.62583131
336,1170.82396327
337,None
338,1789.95468152
339,None
340,885.79374235
341,1338.42529455
342,1402.13360938
343,1809.38099499
344,920.84643177
345,None
346,None
347,None
348,None
349,None
350,1924.40594942
351,None
352,None
353,913.32634076
354,502.40693494
355,1026.16743191
356,1448.89364788
357,601.12807308
358,1487.03796514
359,1575.41984842
360,None
361,1696.36638486
362,1908.32319258
363,None
364,None
365,1236.41323864
366,None
367,1520.45942059
368,1013.24410451
369,None
370,1768.90818978
371,184.54003056
372,None
373,None
374,769.40236487
375,1428.13399567
376,None
377,None
378,None
379,1895.36464036
380,1035.46689529
381,456.45764031
382,1782.64836152
383,1677.26366456
384,1129.28532991
385,1671.03093628
386,None
387,1616.23571047
388,1445.93098692
389,1791.43761066
390,1289.97643602
391,None
392,None
393,None
394,None
395,1672.07238693
396,None
397,None
398,None
399,None
